COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
TWN,"Taiwan, China",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,7.228,9.164,11.252,11.343,12.578,12.633,13.759,14.548,15.712,17.993,18.681,19.163,19.965,20.977,20.9,21.737,22.809,24.24,25.863,26.729,27.766,29.439,33.822,44.785,45.367,47.765,50.965,54.14,60.689,68.183,75.57,82.258,84.716,86.018,85.836,91.603,90.463,93.043,95.932,100,103.561,106.805
TZA,Tanzania,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,2.819,3.038,3.056,3.206,3.295,3.241,3.31,3.289,3.335,3.401,3.54,3.664,3.889,4.322,5.141,5.886,7.281,8.607,9.374,10.298,11.645,13.72,16.337,19.923,24.052,32.415,40.894,55.38,75.609,85.681,100,136.046,153.877
URY,Uruguay,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,8E-05,8E-05,0.0001,0.00011,0.00016,0.00023,0.00027999999999,0.00031,0.00037,0.00053,0.00084,0.00154,0.00272,0.00594,0.00756,0.00856,0.01039,0.01816,0.0373,0.0642,0.10894,0.16213,0.25252,0.37259,0.65383,0.98697,1.286,1.492,2.16,3.374,5.872,10.037,17.35,28.464,49.898,100,200.739,324.889
USA,"United States",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,13.884,15.826,15.441,15.432,15.349,15.55,16.632,17.12,18.038,18.622,18.533,18.463,18.672,19.021,19.369,19.927,20.763,21.32,22.295,24.455,25.988,26.644,28.599,29.629,34.097,39.079,40.896,44.537,48.462,54.131,65.993,73.17,78.607,81.902,84.23,86.08,89.077,91.009,93.245,97.189,100,103.354,105.318
VEN,Venezuela,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,13.674,13.466,13.491,13.457,13.577,13.624,14.05,3.528,3.591,3.455,3.338,3.346,3.353,3.417,3.451,3.463,3.52,3.572,3.667,3.635,3.767,4.013,4.184,4.69,6.776,6.722,7.069,7.635,8.115,9.841,12.286,13.827,14.026,14.82,20.986,22.898,23.6,31.177,37.837,69.657,100,121.45,154.683
ZAF,"South Africa",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,4.105,4.255,4.427,4.818,4.869,4.853,4.954,5.015,5.03,5.102,5.252,5.318,5.35,5.528,5.622,5.787,6.033,6.295,6.541,7.03,7.312,7.739,8.591,10.163,11.806,13.058,14.388,15.957,17.811,20.537,25.387,28.389,32.288,37.359,41.673,48.441,56.351,64.377,74.113,86.892,100,113.473,128.131
ZWE,Zimbabwe,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,10.252,10.56,10.996,11.42,11.801,11.956,12.214,11.964,12.021,11.738,12.46,12.797,12.319,12.39,12.869,13.523,11.979,12.696,13.353,14.187,15.972,17.51,18.925,20.676,22.88,26.376,29.086,33.3,38.037,45.434,47.037,50.351,56.694,61.452,73.294,80.791,100,127.722,179.938
ARG,Argentina,TotDef,"Economy-Wide Fixed Capital Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,2E-10,2E-10,2E-10,5E-10,7E-10,8E-10,1E-09,1.1E-09,1.3E-09,1.4E-09,1.5E-09,2.1E-09,3.4E-09,5.5E-09,7.2E-09,2.11E-08,1.125E-07,2.921E-07,7.5E-07,1.916E-06,5.086E-06,1.049999999E-05,3.17E-05,0.00015314,0.0010863,0.00780223,0.014,0.031,0.151,4.71,100,241.008,277.898
AUS,Australia,TotDef,"Economy-Wide Fixed Capital Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,12.539,12.705,12.854,13.33,13.7,14.093,14.574,15.019,15.559,16.319,17.187,18.344,20.139,23.034,27.319,31.451,34.924,37.591,40.515,44.972,49.549,54.655,60.381,64.555,68.168,72.898,78.376,84.231,91.535,96.869,100,101.603,102.679
AUT,Austria,TotDef,"Economy-Wide Fixed Capital Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,25.339,26.696,27.715,28.701,29.635,31.323,32.301,33.35,34.296,35.234,36.905,39.195,42.174,45.568,49.898,53.119,56.108,58.962,62.342,64.905,68.294,72.711,77.225,80.238,84.139,86.726,90.421,92.629,94.129,96.817,100,103.923,108.249
