COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
POL,Poland,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34082038117.7639,34427594980.7522,35732878236.7806,36164851019.6436,38083346592.2798,43900278118.344,59801681030.8342,58458624239.1726,60792392632.7671,64871462618.2602,69173579875.594,70476986129.2172,62959884666.4339,57592897372.4084,48013646697.3646,60735666569.0397,60048894751.3479,54626584476.6657,50426962225.6364,52752998989.5317,46036764798.6404,45369712409.4472,40741306265.0602,293456603011.748,750659536592.52,2324686101990.99
PRT,Portugal,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6092739788.931,5891753311.45816,5722216349.62844,5910640430.62842,6445720850.07864,7690768223.98594,8982623078.45878,8889932453.99803,8857877854.30055,8582452605.86603,9219059592.91902,10115354064.2651,9970823989.21142,9898445894.40869,8300595800.62445,7110183429.8959,6178553438.10545,5200952914.02201,5137463041.40449,6303191799.11703,7000595106.84307,7634465374.42812,7832928893.03537,8970293653.00803,9682237642.76969,11127039729.7861
SLV,"El Salvador",AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2002492923.94273,1782635668.18012,1657782718.87064,1657666080.68748,1818397436.6418,2008282658.81465,2254951929.99875,2611169753.40211,2622837284.05182,2957903854.78196,3438835752.25804,3705208324.98908,4098488848.02592,3269093930.38137,2264710802.81469,1839859215.90858,1754755243.34811,1617971865.58511,1716729338.03055,1623090695.35561,1536567666.48332,1647513292.48179,1537398557.99312,1471202530.80278,1457539948.37219,1429583569.85755
SWE,Sweden,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11743399325.845,11582420563.0284,11577711141.6676,12209062264.0312,12926053353.0084,14459392484.2276,16615351079.3555,17046733203.0569,19122246925.5098,19892992576.9909,21144793984.0402,22074632980.6761,23836495139.7578,24967603184.3716,21151260474.2686,17869509948.9848,15525441267.5588,14598753985.5277,14439281235.7216,17526053740.3132,19803714177.4565,21347719885.0902,21163194116.1466,23575577161.035,22892708772.6722,22349086360.1869
SYR,Syria,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2039397638.02596,2068087646.87609,2025047547.61803,2100325979.37249,2327995015.91423,2630832674.54056,3153065567.73011,4087487497.48303,4143583482.82451,4702842685.53454,5109568458.58423,6008172585.83642,6566612093.6859,7266867529.95538,7701645663.4112,8072373732.15642,8482159905.74813,8807238586.48549,9222639880.65918,11441592212.7885,13185647066.1522,7723810069.75967,8727385551.28698,9985441384.52728,10205254993.4997,11688813945.8429
TTO,"Trinidad & Tobago",AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,292999716.464978,266096092.924648,248207020.67983,238116265.696245,248018669.373714,274618246.904251,314251285.05363,388127942.642354,420184257.475271,405549286.595653,447772322.945906,436484836.962,508936313.835023,566770498.581404,538201579.097449,556079852.706528,554268773.507241,580401468.94085,544262964.770268,379624317.801651,373237893.279123,355632961.017615,289833922.195495,303666850.120845,287390281.523365,295510272.133511
TUN,Tunisia,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2955327061.88041,2962026429.72993,3070118120.46143,3076503257.88349,3252204490.71167,3713459547.1987,4539707443.22423,4973462620.05897,5075946074.37527,5002639193.74856,5336802091.11249,5665116575.47216,5832387055.74326,6132344869.00919,5483541965.08739,5411940283.44643,5199756396.97028,5056653680.68514,5084766860.99336,5515467664.63194,5754082358.4412,5961320653.30633,5838365953.74628,6477471934.82786,6585767342.97782,7303011511.51871
TUR,Turkey,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28862151480.2361,29098222688.4741,28023314025.9445,25836451581.3519,24273655674.57,29096978341.4556,34620088828.5751,42523261329.7352,40121355022.1111,44500309397.3444,49026215070.2099,53288801367.2316,56652627556.0041,47640196986.1187,42213050453.8193,38854705971.3539,33983038028.2913,31325463735.3649,28567479137.1609,30163201694.5928,32167827422.4451,32473103168.8088,34208589012.9522,38107952496.9099,35465028409.0627,35816395937.9205
TWN,"Taiwan, China",AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3105573862.44433,3304666206.13492,3468236253.30076,3517016688.82351,3593053132.47599,3903497496.99036,5003629049.47361,6474299539.00391,5998089891.75659,6192712484.90442,6406353846.02194,6708588864.71542,7392276872.88489,7781217573.78438,7872399247.51375,7680515075.7338,7454720660.4536,7426873423.16072,7103014743.47566,7839436659.79541,9119210283.87783,10401798784.1854,11572271938.5633,11771166759.9624,11976427955.1012,13052833730.0175
TZA,Tanzania,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6257666079.18351,6464950785.20263,6191478141.7439,6336307787.34171,6591141526.85319,6821270828.97167,7582306807.42505,8346721424.89336,7398496220.47268,7821175080.67657,8344440827.20707,9171484152.94181,8925656498.58934,8769414803.45303,8961465354.88156,8749949676.20844,8405799028.43008,7197476147.21759,7477361337.01581,6877375521.97464,6820432809.79116,6618452496.91144,6188415795.20244,6047220767.93341,6748881438.50541,6825543723.37466
URY,Uruguay,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5741680262.40808,5792549375.60319,5882182146.01507,5420231145.28816,6006031917.92287,6064736326.40309,6642629370.17627,6264997091.52522,6282679483.50656,6116757311.42758,6165462454.99262,5166969316.02264,6259625063.92602,6917493674.56055,6552853830.85571,5891400208.27234,3303749389.282,4493949092.59985,3179461609.07573,5559896768.3123,6082466480.99193,7497306519.76155,3263463607.9436,3240553830.50392,3018499032.54442,3831235240.6082
USA,"United States",AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,322123289952.189,320225104333.25,332899629140.355,336807545894.739,347771543643.739,359283796005.09,404272241872.371,428408847488.621,420658783061.236,416246599017.996,422653832708.726,442716271847.757,475196635519.281,521211002530.772,507947635472.534,488396970459.277,463658275692.241,452623308525.115,436291879920.294,420729133296.211,397821601670.351,395594205684.015,376411133618.273,361842093461.865,346898868101.252,336924325906.872
VEN,Venezuela,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17871827765.2623,17582780363.5441,16909030153.9445,16218748772.4282,16740080644.5734,16583707076.1269,17290962153.884,19659007915.954,18181416435.7491,18519006115.2744,19267017343.7573,18305758847.112,20158124738.098,21569773586.4059,20899238963.7752,19682430346.0827,17722765933.3851,17114659464.0726,14575616465.6436,17234615200.4933,14394114263.8482,16756278072.4622,10393418128.8788,9787036603.54439,9068300530.93525,10258237977.8723
ZAF,"South Africa",AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19375356789.3021,19623100941.9671,19575706435.3252,19260980965.5342,19495877132.6862,19546771902.6808,23573138200.4822,25848877659.5865,24168633614.6873,22624568160.3091,23657913179.5503,25295894267.4994,26816551454.2774,30419318371.1124,29165347377.3084,27261150344.5155,27149743681.0278,22965447326.2726,18042355550.4539,18402521755.747,21498750931.4721,21309896341.726,20251045221.9873,21476886774.5661,21123569747.8728,21120803117.031
ZWE,Zimbabwe,AgCap,"Total Agricultural Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3312385210.73761,3445571499.64907,3644919405.01621,3661624041.9061,3930866382.02147,4144398315.54067,4583710935.72302,4999149895.25452,4775172178.32483,4718933757.33722,4904796421.47902,4747213466.01922,4350023066.61121,4149113019.116,4245746579.14134,4195555769.08175,3775946526.27434,3259013714.8523,3075379346.70298,3178694047.54581,3669306090.10164,3780053160.63781,3373733786.87382,3297318045.29063,3186352237.32476,2562986050.89562
ARG,Argentina,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AUS,Australia,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38132550035.7346,38349859994.4859,39117921265.8036,40035541791.4068,42155116415.4515,46077947514.0264,58657770421.4997,63195406458.1717,59188017017.8302,56167075561.6838,49786973553.6184,50465758427.3877,49626350273.9788,49778601812.7149,50133149951.0229,47145674342.9902,43110334456.8996,41624877897.1776,33595790850.4268,35438934003.4224,40626000911.3684,49850479482.8022,53779078323.9312,54065700685.2597,53698587596.6062,50727222626.3294
AUT,Austria,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23296719748.1218,22820465589.6878,22462294999.2142,22571111105.9701,24364541368.553,28243768253.7491,34967676176.6964,37374895300.4652,38973054277.384,37754023275.0286,41059143656.2295,46285681235.9179,48389609192.8546,48908705382.7318,39400440843.754,36782278188.9726,34567861806.7175,31081058473.0895,30080022663.1503,41864698515.0221,50700303199.6295,51395951883.4276,47747961779.4619,56492635106.0244,56648848521.5243,61562932945.7604
BEL,Belgium,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32448923110.5346,32730735384.2536,33818729704.6768,36661848085.2799,38856741957.5163,45710518817.5158,53275810459.1745,59112710161.2309,63293700578.9812,61778388120.5678,65090452129.8894,70554700531.634,70263998127.8027,66554558617.918,49632070016.8869,40107389980.7515,36192628627.9259,30727185667.7763,30969080785.9173,40307835321.4415,49649409164.5088,51271697667.6491,51058827743.3686,66117494712.8237,68067786984.6692,77036513699.7231
BLX,Belgium-Luxembourg,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CAN,Canada,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66247581354.2774,67334486719.5436,69446517152.4946,74809836413.5714,78129735841.5892,82006518111.7062,85865038999.4626,96585294663.0632,97072759121.3843,105447816497.824,100470248665.069,94241618148.0438,95553722951.2513,101327544492.633,106211005066.746,109261473623.507,110226925130.344,103636356610.569,98912455274.8864,99931964652.4067,109800240000.824,124159446385.071,136500024592.432,142262424297.345,145573598697.042,135054973633.231
CHL,Chile,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10816486319.7411,10113364930.999,10097874811.543,9897451900.78398,10305518982.2662,11628096164.5182,23207381606.022,10679793415.1475,7020467395.9622,6820736819.73939,7327719761.89074,6940783660.42713,7935201587.61794,9475225869.40571,9885290622.3475,8512271037.83189,6124992717.17231,5338233809.89527,4107335434.22227,3879430345.55955,3976953744.96149,4028000943.19203,3979208204.15626,3868826051.00701,3862727775.76878,4070817818.61143
COL,Colombia,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4975023473.97297,4630764643.75255,4651201515.51803,4648719168.60649,4704828216.99774,4791205156.54312,4996551582.69528,5255042323.07706,4924934622.97968,5496414938.33521,6498206725.12098,7189572587.87224,8030240925.68286,8536592232.17288,8682639186.37412,9053643861.98418,9010974679.9072,8283016535.79255,7993040487.83555,7331431529.41844,7348352149.4187,7938208025.23645,7585160159.8836,7374806190.23156,7824535446.08198,8623529547.5983
CRI,"Costa Rica",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,734207192.515303,731652670.870746,764195212.310654,832973237.467709,859127585.369864,936191055.495961,1129101361.85272,1192887709.35875,1320130076.20134,1541554055.92772,1809548795.69401,1961048860.17085,2160482972.48562,2461747097.33735,1467989864.21351,1403506864.92691,1617205573.72291,1739566918.35371,1835066455.74259,1953048774.47022,1928560019.78152,1871971273.18992,1998843855.77144,2190379530.4459,2127122873.46136,2379566261.39665
CSK,Czechoslovakia,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46047246244.892,45728707109.3877,38845938690.4618,36903756272.2865,38186658741.0193,38874120947.7603,43344178904.7907,41244024701.3476,41491201429.4601,40417098390.4328,52005750528.7975,52143959597.8017,51920208728.3348,49568034180.1369,52056238399.5922,50755303154.0396,50468471457.9441,43725233393.7308,41147330426.7294,50151438468.092,55254135529.4255,52810940334.3551,48036192844.6171,41629088020.9977,24911950049.2501,26758730920.7208
CYP,Cyprus,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,429254817.534976,372011556.562858,386619986.1392,423110580.637703,437976540.122774,490941077.412446,566274393.669174,577367525.807343,544512699.092281,503969407.766015,573000225.296476,713880454.530603,852333466.233121,948688208.485495,840950766.998002,791962053.189798,726271069.683601,689131907.976296,690248821.400644,829420892.651403,909082588.360371,952485202.73782,931970238.604381,1038233381.62841,1049654290.85704,1116943442.77861
DFA,"Germany, West (former)",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,194827561287.97,189914351199.961,200536465031.475,245018805860.276,278424488595.654,314683833467.187,380397023041.523,391799000908.477,390899031349.335,373807501712.365,397487851326.063,450703491045.76,490272973072.128,486056537553.266,377855057182.846,342267863360.621,320206969909.32,283364791576.438,272623159741.792,372957048710.943,453018385612.247,464405569616.279,441117388415.34,534794071980.81,548173889475.68,602332506525.741
DNK,Denmark,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9933378071.58057,9472057924.48224,9804783968.12224,11871275114.4986,12653349770.0477,14297512119.1647,18011499734.5625,20642855215.2937,22704585613.6634,22482839471.2484,23662654073.7825,26231101200.5103,27547031601.4468,26196627342.6532,21215552850.234,18479686253.1971,17341737537.3072,15664867782.4869,16261655613.5442,22357636650.8158,27509328711.9668,28442221402.074,26747083323.0982,31651392198.8581,31337803684.4649,33971208262.0442
DOM,"Dominican Republic",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ECU,Ecuador,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,686982244.485339,753499176.226044,872181871.890318,869900779.890553,757638023.210858,795904848.120578,892459552.759576,1316038017.66799,1515192557.36857,1840865419.87006,2342610842.41522,2705811564.70033,3232852357.68394,3832967548.69723,4119856151.18779,4042670660.7859,3704994365.69312,3760274662.88265,4542347323.03034,3401914659.28265,3711579162.62676,3588827235.45912,3421678244.83538,3698796811.03154,3832034715.8544,4271164235.58427
EGY,Egypt,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7299080380.67981,7548613297.08016,7477523912.69088,7442289625.46557,7531791646.32512,7635858790.02103,8928768539.48916,9744928738.08663,10670216793.9068,12452594980.1928,14704898156.5865,17682683616.3272,12812254762.1508,15782636396.5501,16215603466.6644,18474163700.2026,20847168775.1276,23692930741.7467,25891758868.3525,29180799864.2703,33781549934.0763,39231146561.1769,37625968185.2258,27124948815.2875,16773922055.2939,18916551399.6356
FIN,Finland,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15408603493.67,13200439225.7218,13375327664.7773,14918213210.0103,16468981410.3541,18266171927.4796,22298795191.6424,27538453802.8287,31087293426.6487,31649170863.5547,32258007731.6766,30795136359.6156,32323249767.5904,37217647802.7158,33200860777.1733,30573909780.8272,27685138365.7419,26546675624.7283,26756234177.8383,33516927963.4956,40845622619.674,44256815157.3962,46302484786.9293,54148890445.9294,48542524072.1344,40461264914.4272
FRA,France,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,252792691035.141,249060346765.229,245630759098.356,207858976294.145,212707647000.818,238532377313.349,281305725843.793,283342180786.207,327925942259.214,310918057372.227,309375435717.497,337888712582.383,362709013537.209,405080013281.718,317249757477.119,274077735895.436,243230267865.915,214532161651.353,210967526588.927,274958483357.019,318459174514.125,324273143074.277,305234862510.429,365549017455.526,358671902036.728,381124667435.61
GBR,"United Kingdom",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,138618221232.749,122755476314.125,126752529594.451,139421094351.082,149874848788.764,162976772029.7,175220296691.405,188848843271.866,200282094771.844,174603615128.39,177958982195.82,204291793609.537,242393728098.141,304413846588.283,259262547222.328,211718873694.523,177943630692.042,155564449288.273,154639380828.309,177669621805.733,202362051295.305,227343870564.605,219148861532.55,245824276088.807,235486150113.634,239426067813.517
GRC,Greece,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4741438813.18201,5180193435.82717,5580819792.07791,5806452615.99428,6555810911.54083,7968509238.45022,10458897977.8053,13194976338.2919,13619486698.4854,14083328867.672,16141947332.7727,18336521833.194,21282649051.6107,21204062785.0884,18262258783.2911,16654478971.9035,15058256215.7564,13544402893.0541,12550771041.4593,14944565964.9086,16712619155.6086,17579637305.3261,17396216700.7693,19565251360.5106,19932785328.3638,20676862758.3249
GTM,Guatemala,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1995228253.10627,2197307067.5434,2387283089.75849,2620534805.79136,2677732546.67626,2748858891.50898,3234832548.44352,3774637330.37179,4237348631.28694,5037127293.33902,6008369981.95416,6493020150.52063,7007236291.32246,7428989187.73288,7645515675.77846,7799490801.83372,7912482391.5253,7845186629.38324,9044930745.28804,8079574562.16553,5285645922.94668,5569112410.88945,5688085139.75046,5019764716.68292,5718432256.18508,6163113341.74475
HND,Honduras,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
IDN,Indonesia,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1970634710.60237,2203013967.79512,2470432669.87363,2513430433.30034,2516516663.76972,3117695097.57788,4179847468.58313,6113640608.6747,6915591551.91219,7966658658.63044,8943017468.8835,10734794822.6635,10246255105.7814,12648616872.7168,13115490399.3657,13830447776.3697,12197996278.5928,11764296719.8229,12443625565.6058,11480086076.3842,10333267872.6549,11546947237.9504,14550916059.0344,18190856376.32,22873679249.545,25467454313.5272
IND,India,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41624179729.0582,44664991060.3832,45341252987.7675,46304577790.5776,46090929984.9788,47727585221.3624,50452985201.5455,55107798695.9347,62106346697.271,56281968048.5181,60090021433.7331,67805580451.0969,68273596380.5982,78870451956.8548,78562436993.5272,79287552942.4763,82749322757.7771,82612104569.7681,84352030239.774,92614954202.1863,99534678797.9998,103490812218.379,97872583249.3583,100802987392.15,89441833202.6672,91437838113.1009
IRL,Ireland,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3216434588.69605,2975773707.31169,3305305579.65841,3805339364.48475,4347264432.60056,5167849797.86962,5668654202.16554,6424239816.7396,7153423241.66485,7004759405.78932,7819172110.45127,9623041423.7971,11741521450.3687,13676011791.6969,11679680109.1252,8254633094.8861,7829455141.54605,7286780455.61026,7494441016.1933,9737415468.06154,10944937195.8786,11687612026.8247,11403305511.6229,13477794414.2058,13269298931.9143,14002898076.7214
IRN,Iran,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12436055647.9911,11621548808.3794,10961442556.0533,10642721480.7281,11824046564.2535,12499796681.6525,18473775144.2714,27737331892.9225,30498702080.151,35845425508.109,44052953922.9577,46730096330.1744,53495131746.7876,58163649463.6453,56574805457.9908,54161578183.1917,54204291301.7259,52705838010.7127,49388948051.734,58532855326.4782,71320885098.2441,77970769364.7679,79778266563.0075,93420963413.5434,109944833855.284,136182907627.533
IRQ,Iraq,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3005544810.00628,2834568852.79162,2863535513.26594,3016881804.84696,3190402708.97527,4242456291.59788,4431964114.39813,8229104980.53703,9599708679.2167,10639552626.9712,12478321051.0074,13577182937.1203,15004475260.4513,21226161013.318,23640020512.0652,30108194677.7688,21696064396.3075,23075775083.4073,25979028482.8744,27071598542.7366,27052351538.3561,26465586489.1214,26606782094.9164,36428853576.6531,40791317496.0733,48224265093.3852
ISL,Iceland,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,576911740.896457,513450829.999141,486280246.833946,536707159.695183,588906223.340746,670371062.046354,877921400.202672,1075089421.52328,1011735656.22423,1024696030.41237,1147701469.76761,1229237827.14135,1354818695.74442,1556725819.5189,1454049985.88127,1282061330.95941,1073526223.5635,992887561.926692,996893164.719189,1242802062.78882,1531317758.51686,1598098488.5682,1464766321.01458,1582822545.18382,1596592250.69466,1607968085.89881
ISR,Israel,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3592084883.90083,3260115747.34177,3513833965.00536,3843068445.53315,4759422274.45683,5546516428.61429,6697017732.27691,8946337006.75432,8343880462.65413,8909943556.65356,9444288436.22384,8968799053.67309,10542961349.8238,11013438860.4011,10454795924.3267,10927657646.3192,11859340034.4075,11104188912.701,10335600738.343,12497287205.1228,14339997888.6867,16372853029.0309,15624940147.4118,16802085099.9125,17876181766.3956,18622660179.8638
ITA,Italy,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95761326540.3435,95578464299.32,98960490655.8707,118207420622.876,126212077638.37,138646358639.018,159668853197.666,177382808536.184,195875650036.511,174557929870.992,184329378052.337,198874297867.694,217378310961.683,335541187962.105,284458771526.747,259384821968.373,246023652685.282,222823525876.35,213873195971.383,274901832308.506,318788028988.627,326931179048.509,319178588925.928,380953826962.886,373304854633.847,378627764834.398
JAM,Jamaica,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,913861885.903818,809617439.553123,819452439.563769,856177059.387807,889749834.960222,974701613.034645,954726271.51466,1171749871.968,1361016495.21339,1441016573.58506,1476434889.59798,1128983628.93882,898174740.386686,942999631.823034,943440637.786936,967888705.373245,1054067699.62642,669471322.826927,584484237.146106,680010890.835411,770260124.139339,854268346.427696,938035288.294209,940328808.649447,879113745.845194,706713777.916614
JPN,Japan,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,228993110028.321,258121936795.618,294593461749.624,335873375652.644,373846656687.476,463465504631.071,597219641560.161,645665491850.872,631312748825.969,647290776184.597,700556665239.375,850825981142.632,746656258306.085,677024472319.297,645388319417.638,539589381635.004,540099875824.009,526831362408.378,522666893046.61,738141731083.664,827168669079.292,908098388973.634,848572604413.45,824948443424.976,923152458546.04,1012825470267.46
KEN,Kenya,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,667254001.240841,712002186.603682,732793988.05013,775064186.695292,866092340.086334,1013023765.72134,1226677148.52224,1446358757.1141,1556133936.92574,1594971144.51379,1952812290.78142,2212852367.43701,2491849492.28448,2668269329.61015,2369046248.17569,2112288619.07778,1943007277.67372,1924599470.29728,1773173125.05857,1980808216.87098,2068915188.82786,2107986556.23592,1994886390.68744,2038658597.53189,1928614847.37273,1892884728.5443
KOR,"South Korea",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4550793784.77813,5920878863.22901,7189151484.84684,8323240196.24401,8838108919.7706,9276924898.53858,11142974066.8805,14873124256.8532,15879927480.9726,20204523507.27,24705845181.5488,32427200101.3507,43954416446.7181,44794658606.5218,45701823529.3301,45920465397.6913,46400587955.8984,48767852985.2842,50988214971.5819,57788922591.1695,73386675927.3312,97680745913.4189,122337450397.422,139438774840.439,160333716590.504,169440492279.328
LKA,"Sri Lanka",MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,889266819.161384,759059051.04062,705639329.15396,658878997.141218,635005206.606804,609693070.326458,643458700.480824,717312663.425384,675859842.83429,612284792.48367,719096332.303506,455164852.091657,540648184.876883,695161952.259011,702869123.556306,911695026.450265,942541694.832567,999623613.273147,913752154.199593,908756788.242363,928903510.19883,903282830.903292,850796937.520931,919844471.644851,983426307.760857,1035502129.45124
LUX,Luxembourg,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3310824605.30573,3447328331.09536,3948283124.03964,4498582322.71725,4680636617.85478,4837900413.13374,4497913977.64567,4597577015.15577,4927263039.36654,5001953597.75162,5025428970.21327,3869935297.85014,3183653951.05608,2856039789.10093,2354824927.24715,2294071597.20276,3024923031.71801,3719469579.81826,3608394218.95631,3280143501.35765,3875851919.51019,3778901246.20293,4032329954.30561
MAR,Morocco,MfgSECap,"Manufacturing Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
